seed,delta,omega,rule,crossings,max_event_time_error,rms_error
101,3.0,2.45,raw,829,4.547473508864641e-13,4.440892098500626e-16
101,3.0,2.45,hysteresis,739,4.547473508864641e-13,4.440892098500626e-16
101,3.0,2.475,raw,813,9.094947017729282e-13,2.220446049250313e-16
101,3.0,2.475,hysteresis,724,9.094947017729282e-13,2.220446049250313e-16
101,3.0,2.5,raw,805,4.547473508864641e-13,2.220446049250313e-16
101,3.0,2.5,hysteresis,720,4.547473508864641e-13,2.220446049250313e-16
101,3.0,2.525,raw,814,9.094947017729282e-13,2.220446049250313e-16
101,3.0,2.525,hysteresis,725,4.547473508864641e-13,2.220446049250313e-16
101,3.0,2.55,raw,813,9.094947017729282e-13,2.220446049250313e-16
101,3.0,2.55,hysteresis,709,9.094947017729282e-13,2.220446049250313e-16
101,3.0,2.575,raw,809,4.547473508864641e-13,4.440892098500626e-16
101,3.0,2.575,hysteresis,714,4.547473508864641e-13,4.440892098500626e-16
101,3.0,2.6,raw,804,9.094947017729282e-13,6.661338147750939e-16
101,3.0,2.6,hysteresis,705,9.094947017729282e-13,6.661338147750939e-16
101,4.0,1.9,raw,892,9.094947017729282e-13,6.661338147750939e-16
101,4.0,1.9,hysteresis,871,9.094947017729282e-13,6.661338147750939e-16
101,4.0,1.925,raw,901,9.094947017729282e-13,4.440892098500626e-16
101,4.0,1.925,hysteresis,878,9.094947017729282e-13,4.440892098500626e-16
101,4.0,1.95,raw,916,4.547473508864641e-13,6.661338147750939e-16
101,4.0,1.95,hysteresis,891,4.547473508864641e-13,6.661338147750939e-16
101,4.0,1.975,raw,918,9.094947017729282e-13,6.661338147750939e-16
101,4.0,1.975,hysteresis,885,9.094947017729282e-13,6.661338147750939e-16
101,4.0,2.0,raw,923,4.547473508864641e-13,0.0
101,4.0,2.0,hysteresis,888,4.547473508864641e-13,0.0
101,4.0,2.025,raw,925,9.094947017729282e-13,0.0
101,4.0,2.025,hysteresis,896,9.094947017729282e-13,0.0
101,4.0,2.05,raw,938,4.547473508864641e-13,2.220446049250313e-16
101,4.0,2.05,hysteresis,898,4.547473508864641e-13,2.220446049250313e-16
101,4.0,2.075,raw,931,4.547473508864641e-13,6.661338147750939e-16
101,4.0,2.075,hysteresis,897,4.547473508864641e-13,6.661338147750939e-16
101,4.0,2.1,raw,942,4.547473508864641e-13,8.881784197001252e-16
101,4.0,2.1,hysteresis,896,4.547473508864641e-13,8.881784197001252e-16
101,4.0,2.125,raw,944,4.547473508864641e-13,0.0
101,4.0,2.125,hysteresis,894,4.547473508864641e-13,0.0
101,4.0,2.15,raw,949,9.094947017729282e-13,1.1102230246251565e-15
101,4.0,2.15,hysteresis,905,9.094947017729282e-13,1.1102230246251565e-15
101,4.0,2.175,raw,943,4.547473508864641e-13,3.3306690738754696e-16
101,4.0,2.175,hysteresis,910,4.547473508864641e-13,3.3306690738754696e-16
101,4.0,2.2,raw,947,9.094947017729282e-13,7.771561172376096e-16
101,4.0,2.2,hysteresis,893,9.094947017729282e-13,7.771561172376096e-16
101,4.0,2.225,raw,955,4.547473508864641e-13,1.1102230246251565e-15
101,4.0,2.225,hysteresis,909,4.547473508864641e-13,1.1102230246251565e-15
101,4.0,2.25,raw,949,4.547473508864641e-13,6.661338147750939e-16
101,4.0,2.25,hysteresis,891,4.547473508864641e-13,6.661338147750939e-16
101,4.0,2.275,raw,967,4.547473508864641e-13,3.3306690738754696e-16
101,4.0,2.275,hysteresis,903,4.547473508864641e-13,3.3306690738754696e-16
101,4.0,2.3,raw,957,9.094947017729282e-13,0.0
101,4.0,2.3,hysteresis,894,9.094947017729282e-13,0.0
101,4.0,2.325,raw,959,4.547473508864641e-13,5.551115123125783e-16
101,4.0,2.325,hysteresis,886,4.547473508864641e-13,5.551115123125783e-16
101,4.0,2.3333333333333335,raw,961,9.094947017729282e-13,0.0
101,4.0,2.3333333333333335,hysteresis,892,9.094947017729282e-13,0.0
101,4.0,2.35,raw,944,4.547473508864641e-13,1.1102230246251565e-16
101,4.0,2.35,hysteresis,886,4.547473508864641e-13,1.1102230246251565e-16
101,4.0,2.375,raw,954,9.094947017729282e-13,1.1102230246251565e-16
101,4.0,2.375,hysteresis,890,9.094947017729282e-13,1.1102230246251565e-16
101,4.0,2.4,raw,965,9.094947017729282e-13,1.1102230246251565e-16
101,4.0,2.4,hysteresis,893,9.094947017729282e-13,1.1102230246251565e-16
101,4.0,2.414213562373095,raw,947,9.094947017729282e-13,1.1102230246251565e-16
101,4.0,2.414213562373095,hysteresis,877,9.094947017729282e-13,1.1102230246251565e-16
101,4.0,2.425,raw,949,9.094947017729282e-13,1.1102230246251565e-16
101,4.0,2.425,hysteresis,869,9.094947017729282e-13,1.1102230246251565e-16
101,4.0,2.45,raw,955,9.094947017729282e-13,3.3306690738754696e-16
101,4.0,2.45,hysteresis,881,9.094947017729282e-13,3.3306690738754696e-16
101,4.0,2.475,raw,953,9.094947017729282e-13,4.440892098500626e-16
101,4.0,2.475,hysteresis,872,9.094947017729282e-13,4.440892098500626e-16
101,4.0,2.5,raw,937,9.094947017729282e-13,3.3306690738754696e-16
101,4.0,2.5,hysteresis,849,9.094947017729282e-13,3.3306690738754696e-16
101,4.0,2.525,raw,937,4.547473508864641e-13,3.3306690738754696e-16
101,4.0,2.525,hysteresis,847,4.547473508864641e-13,3.3306690738754696e-16
101,4.0,2.55,raw,955,4.547473508864641e-13,8.881784197001252e-16
101,4.0,2.55,hysteresis,860,4.547473508864641e-13,8.881784197001252e-16
101,4.0,2.575,raw,944,4.547473508864641e-13,4.440892098500626e-16
101,4.0,2.575,hysteresis,848,4.547473508864641e-13,4.440892098500626e-16
101,4.0,2.6,raw,928,9.094947017729282e-13,0.0
101,4.0,2.6,hysteresis,840,9.094947017729282e-13,0.0
102,0.0,1.9,raw,475,0.0,0.0
102,0.0,1.9,hysteresis,460,0.0,0.0
102,0.0,1.925,raw,475,0.0,0.0
102,0.0,1.925,hysteresis,460,0.0,0.0
102,0.0,1.95,raw,475,0.0,0.0
102,0.0,1.95,hysteresis,460,0.0,0.0
102,0.0,1.975,raw,475,0.0,0.0
102,0.0,1.975,hysteresis,460,0.0,0.0
102,0.0,2.0,raw,475,0.0,0.0
102,0.0,2.0,hysteresis,460,0.0,0.0
102,0.0,2.025,raw,475,0.0,0.0
102,0.0,2.025,hysteresis,460,0.0,0.0
102,0.0,2.05,raw,475,0.0,0.0
102,0.0,2.05,hysteresis,460,0.0,0.0
102,0.0,2.075,raw,475,0.0,0.0
102,0.0,2.075,hysteresis,460,0.0,0.0
102,0.0,2.1,raw,475,0.0,0.0
102,0.0,2.1,hysteresis,460,0.0,0.0
