r,delta,seed,dt,rule,cycles,mean_N,median_N,integer_fraction,band1,band2,band3,event_R1,event_R2,interval_R,next2_given2,event_Omega
0.5,4.0,301,0.005,hysteresis,660,1.6876897984109533,2.016014898452461,0.3984848484848485,0.23030303030303031,0.1621212121212121,0.006060606060606061,0.7486221203441219,0.39270885240564657,0.5085448869185335,0.2336448598130841,1.382560548467074
0.0,0.0,302,0.00125,raw,481,2.3142298137816373,2.3257714240354375,0.1101871101871102,0.006237006237006237,0.0893970893970894,0.010395010395010396,0.006788913160224887,0.059818138313849446,0.3999316855489854,0.11627906976744186,1.0082548066047423
0.0,0.0,302,0.00125,hysteresis,455,2.4378158415935074,2.3552009337945767,0.1054945054945055,0.0,0.07472527472527472,0.01098901098901099,0.014244980762168078,0.05906811335307165,0.40401545531540506,0.08823529411764706,0.9571409347344803
0.0,2.0,302,0.00125,raw,677,1.6444987669316944,1.9062233138669578,0.3175775480059084,0.1831610044313146,0.1344165435745938,0.0,0.7002316103768929,0.24497502000133167,0.4104583596020643,0.18888888888888888,1.4188720479777959
0.0,2.0,302,0.00125,hysteresis,616,1.8055561746866557,2.079679916275505,0.3392857142857143,0.17207792207792208,0.16396103896103897,0.003246753246753247,0.7225134142936143,0.29937189567007955,0.45026515524770355,0.2,1.2923072491711705
0.0,4.0,302,0.00125,raw,982,1.1335376760493274,1.020198490115999,0.390020366598778,0.3533604887983707,0.035641547861507125,0.0010183299389002036,0.8182749026587763,0.4466443854953123,0.5277926734262594,0.02857142857142857,2.058452385513647
0.0,4.0,302,0.00125,hysteresis,918,1.2125642678436157,1.0386293740369585,0.42374727668845313,0.35947712418300654,0.06318082788671024,0.0010893246187363835,0.8453384197133206,0.5038694124661981,0.5932504574338245,0.06896551724137931,1.9242966292276253
0.5,0.0,302,0.00125,raw,476,2.335863921863382,2.3148661604133345,0.12815126050420167,0.004201680672268907,0.10504201680672269,0.01680672268907563,0.009788180215663009,0.03188309112867085,0.3492155182180233,0.14,0.998916637006821
0.5,0.0,302,0.00125,hysteresis,454,2.4427260421056447,2.3377775136527346,0.12555066079295155,0.0,0.0947136563876652,0.015418502202643172,0.012172225382071536,0.037377608302687826,0.3716968098327665,0.11627906976744186,0.9552169556116028
0.5,2.0,302,0.00125,raw,639,1.7433277111910106,2.049913532113381,0.30672926447574334,0.15336463223787167,0.14084507042253522,0.012519561815336464,0.6420114188830052,0.21104277174254057,0.3427714234164403,0.2222222222222222,1.3384364387457832
0.5,2.0,302,0.00125,hysteresis,570,1.9513271797304552,2.1157161899401307,0.3385964912280702,0.12105263157894737,0.18947368421052632,0.028070175438596492,0.6539016913995518,0.2465534642083078,0.38482695041378423,0.22429906542056074,1.1957673513550127
0.5,4.0,302,0.00125,raw,854,1.304408660797337,1.0758798753814616,0.38524590163934425,0.29859484777517564,0.08430913348946135,0.00234192037470726,0.7740523858088948,0.3677200877610779,0.4892335505196043,0.1527777777777778,1.7888054591013314
0.5,4.0,302,0.00125,hysteresis,774,1.439231261396545,1.1181054167433415,0.4289405684754522,0.28811369509043927,0.13824289405684753,0.002583979328165375,0.80274427191602,0.43265260278219325,0.5671378693415822,0.19626168224299065,1.6212358610590523
0.0,0.0,302,0.0025,raw,481,2.3142281997027485,2.325528342349774,0.10810810810810811,0.004158004158004158,0.0893970893970894,0.010395010395010396,0.0067512636041666685,0.05993977800456042,0.4002981886994293,0.11627906976744186,1.0082555098209585
0.0,0.0,302,0.0025,hysteresis,455,2.4378144745456507,2.354708452389633,0.1054945054945055,0.0,0.07472527472527472,0.01098901098901099,0.014182768072955354,0.0591216361259778,0.40437247607467613,0.08823529411764706,0.9571414714682953
0.0,2.0,302,0.0025,raw,677,1.6444987896932695,1.9062798645707617,0.3190546528803545,0.18463810930576072,0.1344165435745938,0.0,0.7002236241222197,0.24512919385790394,0.41056073616067257,0.18888888888888888,1.4188720283391298
0.0,2.0,302,0.0025,hysteresis,616,1.8055562229315458,2.079690483500732,0.3392857142857143,0.17207792207792208,0.16396103896103897,0.003246753246753247,0.72249652158652,0.29938253295989736,0.4502601246713208,0.2,1.2923072146404146
0.0,4.0,302,0.0025,raw,982,1.1335377058557243,1.0199882624111076,0.390020366598778,0.3533604887983707,0.035641547861507125,0.0010183299389002036,0.8182623310721776,0.4467426604015736,0.5278134428174703,0.02857142857142857,2.0584523313866
0.0,4.0,302,0.0025,hysteresis,918,1.2125642997280188,1.0384013904196987,0.42483660130718953,0.35947712418300654,0.06318082788671024,0.002178649237472767,0.845311413611287,0.5037294370374379,0.5931025663065685,0.06896551724137931,1.9242965786282062
0.5,0.0,302,0.0025,raw,477,2.330966196626776,2.314528061898141,0.1278825995807128,0.0020964360587002098,0.1069182389937107,0.016771488469601678,0.012025691704864335,0.0335682741945304,0.35048152110757447,0.13725490196078433,1.0010155173893054
0.5,0.0,302,0.0025,hysteresis,455,2.437356651300082,2.3373648012778334,0.12747252747252746,0.0,0.0967032967032967,0.015384615384615385,0.014354789169525319,0.03907443621391159,0.3687606138021511,0.11363636363636363,0.9573212570629486
0.5,2.0,302,0.0025,raw,638,1.7460601994769998,2.0500435796042495,0.3072100313479624,0.1536050156739812,0.14106583072100312,0.012539184952978056,0.6444188374056035,0.21035344617147145,0.343426853591297,0.23333333333333334,1.3363418592510388
0.5,2.0,302,0.0025,hysteresis,570,1.951326870107595,2.1156690673743626,0.3385964912280702,0.12105263157894737,0.18947368421052632,0.028070175438596492,0.6539100843133923,0.24656326938914908,0.38493508899291184,0.2336448598130841,1.1957675410909883
