r,delta,seed,sample_dt,rule,cycles,mean_N,median_N,integer_fraction,band1,band2,band3,event_R1,event_R2,interval_R,next2_given2,event_Omega
0.5,2.0,202,0.2,raw,590,1.8801003383988053,2.1305165052783477,0.2440677966101695,0.10677966101694915,0.11864406779661017,0.01864406779661017,0.5709239086115159,0.16426328863683648,0.3262319600326189,0.14285714285714285,1.241068514098841
0.5,2.0,202,0.2,hysteresis,526,2.1088577940214734,2.1857332289885774,0.26806083650190116,0.06844106463878327,0.16730038022813687,0.03231939163498099,0.5711842805634482,0.1946648544975639,0.3359066861574296,0.20454545454545456,1.1064441329084582
0.5,3.0,202,0.05,raw,679,1.633613851165589,1.7523846714913183,0.3166421207658321,0.19293078055964655,0.1134020618556701,0.010309278350515464,0.6749012692579536,0.25588269908260686,0.38567452140718583,0.12987012987012986,1.4283261198284354
0.5,3.0,202,0.05,hysteresis,606,1.8304023183852063,2.0813220295110817,0.3465346534653465,0.1551155115511551,0.17326732673267325,0.018151815181518153,0.6922255057644672,0.30701878909710867,0.43648558236504803,0.17142857142857143,1.2747652851487952
0.5,3.0,202,0.2,raw,676,1.6408673886609024,1.9096309815291053,0.3106508875739645,0.1863905325443787,0.11390532544378698,0.010355029585798817,0.6713316292524241,0.249450914627446,0.38065362153584176,0.12987012987012986,1.4220121317893621
0.5,3.0,202,0.2,hysteresis,603,1.8395130260941455,2.083880618582742,0.34328358208955223,0.15091210613598674,0.17412935323383086,0.01824212271973466,0.6891056154997337,0.30403129907352733,0.43481688150411696,0.17142857142857143,1.2684516501020493
0.5,4.0,202,0.05,raw,757,1.4652546994432467,1.1562982273223148,0.35006605019815057,0.24702774108322326,0.09907529722589167,0.003963011889035667,0.7323318188384546,0.31380277139003343,0.43317010246491855,0.17333333333333334,1.5924421428028392
0.5,4.0,202,0.05,hysteresis,672,1.6505919754144902,1.9863993315259827,0.40029761904761907,0.23065476190476192,0.1636904761904762,0.005952380952380952,0.7584072424986483,0.3868410613146648,0.5100714935083847,0.20909090909090908,1.413634240374515
0.5,4.0,202,0.2,raw,756,1.4671932835863373,1.1616832556126369,0.3425925925925926,0.24074074074074073,0.09788359788359788,0.003968253968253968,0.7257159484414359,0.3034154939682463,0.42241439184779467,0.17567567567567569,1.5903380689078979
0.5,4.0,202,0.2,hysteresis,669,1.6579942038733502,1.9901222293450245,0.3931240657698057,0.22720478325859492,0.15844544095665172,0.007473841554559043,0.7539512457785644,0.38112949579694533,0.5010835107137224,0.20754716981132076,1.4073229736764337
0.0,0.0,203,0.05,raw,475,2.336017132881039,2.3223090379929223,0.11578947368421053,0.002105263157894737,0.09263157894736843,0.016842105263157894,0.02622682221810757,0.029841517706571327,0.4389400626330147,0.13953488372093023,0.9988511216335149
0.0,0.0,203,0.05,hysteresis,452,2.454885261324101,2.3378153680451197,0.11061946902654868,0.0,0.084070796460177,0.017699115044247787,0.03167819115356252,0.022547842433433534,0.4569710678456822,0.16216216216216217,0.9504856989017867
