delta,elapsed_drive_periods,phase_change_turns,ci_low,ci_high,seeds
0,76.87183751338546,-11.043355391620697,-11.572692175294414,-10.51401860794698,8
0,77.24319904726654,-11.100463218351226,-11.621143025979123,-10.57978341072333,8
0,77.61456058114763,-11.207706499619821,-11.773617376840068,-10.641795622399574,8
0,77.98592211502873,-11.246754332654444,-11.798379485275927,-10.69512918003296,8
0,78.35728364890981,-11.262742638458574,-11.792223222858857,-10.733262054058292,8
0,78.7286451827909,-11.34671707672868,-11.926438384156095,-10.766995769301266,8
0,79.100006716672,-11.274724140957495,-11.874397407995719,-10.675050873919272,8
0,79.47136825055308,-11.372459228354055,-11.991385086661603,-10.753533370046506,8
0,79.84272978443417,-11.422130004461884,-12.084242577564284,-10.760017431359485,8
0,80.21409131831525,-11.419177335941983,-12.047693330371901,-10.790661341512065,8
0,80.58545285219635,-11.525985666794032,-12.240747464805866,-10.811223868782198,8
0,80.95681438607744,-11.558390694409757,-12.262705940786272,-10.854075448033242,8
0,81.32817591995853,-11.538292157683722,-12.180442888934323,-10.896141426433122,8
0,81.69953745383961,-11.586615258786118,-12.230802966537954,-10.942427551034282,8
0,82.07089898772071,-11.605398214639836,-12.226515473213503,-10.984280956066168,8
0,82.44226052160178,-11.654919630164953,-12.325137873826563,-10.984701386503342,8
0,82.81362205548288,-11.737512188128244,-12.392118089692168,-11.08290628656432,8
0,83.18498358936398,-11.7985298466838,-12.445781323349722,-11.151278370017879,8
0,83.55634512324505,-11.850119463314265,-12.514278620840551,-11.185960305787978,8
0,83.92770665712615,-11.915389937495545,-12.55980770100052,-11.270972173990572,8
0,84.29906819100725,-11.948116630007325,-12.571253766039407,-11.324979493975244,8
0,84.67042972488832,-12.03821853019596,-12.687384496705661,-11.38905256368626,8
0,85.04179125876942,-12.116729523411353,-12.754277360344938,-11.479181686477768,8
0,85.41315279265051,-12.162974527810812,-12.825120835922988,-11.500828219698636,8
0,85.78451432653159,-12.18846524723892,-12.815123359739793,-11.561807134738046,8
0,86.15587586041268,-12.248777698419524,-12.879324055116507,-11.61823134172254,8
0,86.52723739429378,-12.336361134791918,-12.984503464652196,-11.68821880493164,8
0,86.89859892817486,-12.36244007081957,-12.991411981889549,-11.733468159749592,8
0,87.26996046205595,-12.485519217311259,-13.17821852369929,-11.792819910923228,8
0,87.64132199593705,-12.518275343165325,-13.196637486029239,-11.83991320030141,8
0,88.01268352981812,-12.550627460621584,-13.255780853535626,-11.845474067707542,8
0,88.38404506369922,-12.625670227925905,-13.370833906748869,-11.880506549102941,8
0,88.75540659758032,-12.653564626462728,-13.408068989589202,-11.899060263336255,8
0,89.12676813146139,-12.69995943214973,-13.439405247388862,-11.9605136169106,8
0,89.49812966534249,-12.771787940799669,-13.5125436672745,-12.031032214324838,8
0,89.86949119922359,-12.83328909642573,-13.57773441125435,-12.088843781597111,8
0,90.24085273310466,-12.921357034187013,-13.642421902268866,-12.200292166105159,8
0,90.61221426698576,-12.971365026945966,-13.690322132150483,-12.25240792174145,8
0,90.98357580086684,-13.0528343165934,-13.782816687068674,-12.322851946118124,8
0,91.35493733474793,-13.066931278492135,-13.789959331569964,-12.343903225414305,8
0,91.72629886862902,-13.113356864536204,-13.844900548183476,-12.381813180888932,8
0,92.09766040251012,-13.139184147802037,-13.837882133059896,-12.440486162544179,8
0,92.4690219363912,-13.168130305808724,-13.850499715133012,-12.485760896484436,8
0,92.84038347027229,-13.24641877891863,-13.927660967072296,-12.565176590764963,8
0,93.21174500415339,-13.300544729571838,-13.979417697869199,-12.621671761274477,8
0,93.58310653803446,-13.395142033910838,-14.118656718340091,-12.671627349481586,8
0,93.95446807191556,-13.411491059585654,-14.140157477587588,-12.68282464158372,8
0,94.32582960579666,-13.480137912139023,-14.209463350823977,-12.750812473454069,8
0,94.69719113967773,-13.519671756786352,-14.279276885489901,-12.760066628082802,8
0,95.06855267355883,-13.621399115408822,-14.41700533213146,-12.825792898686185,8
0,95.43991420743991,-13.681978076537593,-14.49667666502026,-12.867279488054926,8
0,95.811275741321,-13.6778877593015,-14.47358752893999,-12.88218798966301,8
0,96.1826372752021,-13.782531430920756,-14.600977247706263,-12.964085614135248,8
0,96.55399880908318,-13.808056082151346,-14.629869896544571,-12.98624226775812,8
0,96.92536034296427,-13.875162372670522,-14.667067005976973,-13.08325773936407,8
0,97.29672187684535,-13.910489556871124,-14.698130487599904,-13.122848626142343,8
0,97.66808341072645,-13.9749843086087,-14.769957050159812,-13.180011567057589,8
0,98.03944494460752,-14.003328791030544,-14.814011000822846,-13.192646581238241,8
0,98.41080647848862,-14.116319731388824,-14.941442514255524,-13.291196948522124,8
0,98.78216801236972,-14.196158044481171,-15.052324821463111,-13.339991267499231,8
0,99.1535295462508,-14.259797470241686,-15.15170670359662,-13.367888236886753,8
0,99.5248910801319,-14.343740106769916,-15.216253525828954,-13.471226687710878,8
0,99.896252614013,-14.385557281784978,-15.270229531120144,-13.500885032449812,8
0,100.26761414789407,-14.452627076042411,-15.322690263078922,-13.5825638890059,8
0,100.63897568177516,-14.542682766037826,-15.419438512430196,-13.665927019645457,8
0,101.01033721565625,-14.548407261043625,-15.4536153393182,-13.64319918276905,8
0,101.38169874953734,-14.59742196518513,-15.510581680422916,-13.684262249947345,8
0,101.75306028341844,-14.662008275462842,-15.61280600822405,-13.711210542701634,8
0,102.12442181729952,-14.73965134750941,-15.726978581843339,-13.752324113175481,8
0,102.4957833511806,-14.757545692333851,-15.703428585823232,-13.81166279884447,8
0,102.86714488506169,-14.859335178022933,-15.864799859057463,-13.853870496988403,8
0,103.23850641894279,-14.904569088737384,-15.97001976760993,-13.839118409864838,8
0,103.60986795282386,-14.939356719597175,-16.010840537406686,-13.867872901787665,8
0,103.98122948670496,-15.013370059606181,-16.112077515760937,-13.914662603451426,8
0,104.35259102058606,-15.090943285044435,-16.17482837347653,-14.007058196612341,8
0,104.72395255446713,-15.126864708426949,-16.172557340256073,-14.081172076597824,8
0,105.09531408834823,-15.17515367422981,-16.19577990263592,-14.1545274458237,8
0,105.46667562222933,-15.251431412819057,-16.28306003133153,-14.219802794306586,8
0,105.8380371561104,-15.299418984128485,-16.277212465228747,-14.321625503028223,8
