delta,N,density,ci_low,ci_high,seeds
1,0.6625000000000001,0.0023999259512188184,-0.0020534384838543245,0.006853290386291962,16
1,0.6875,0.0029347821789955427,-0.0007676231136438984,0.006637187471634984,16
1,0.7125000000000001,0.005147030448883456,-0.0006412291755072564,0.010935290073274168,16
1,0.7375,0.01096328727395395,0.0009826602659864393,0.02094391428192146,16
1,0.7625,0.0184376166526497,0.005246075150266384,0.03162915815503301,16
1,0.7875000000000001,0.022529786798192317,0.011025979449646646,0.03403359414673799,16
1,0.8125,0.027275018204396748,0.012878106792067323,0.041671929616726174,16
1,0.8375000000000001,0.03607615366761672,0.01593688891774633,0.056215418417487104,16
1,0.8625,0.04701747331395097,0.028138722037734477,0.06589622459016747,16
1,0.8875,0.05646447065371738,0.040552175572025874,0.07237676573540888,16
1,0.9125000000000001,0.05330147257327733,0.038892140559320096,0.06771080458723457,16
1,0.9375,0.04494052608188002,0.030106078243469322,0.059774973920290714,16
1,0.9625000000000001,0.04844846744518377,0.028097938291860608,0.06879899659850693,16
1,0.9875,0.05932371430068169,0.03413380621594457,0.0845136223854188,16
1,1.0125000000000002,0.061082500405990656,0.035000159497660194,0.08716484131432112,16
1,1.0375,0.0555697022762688,0.03208064518144101,0.07905875937109658,16
1,1.0625,0.05112458893565895,0.026975528060314932,0.07527364981100297,16
1,1.0875,0.04219755243125087,0.022507413456670854,0.06188769140583088,16
1,1.1125,0.03494163418307502,0.016884822991495442,0.0529984453746546,16
1,1.1375000000000002,0.030420437731169023,0.01466559610133289,0.046175279361005156,16
1,1.1625,0.03130582263492928,0.016511101718659937,0.04610054355119862,16
1,1.1875,0.03544728846002698,0.017545576761304926,0.053349000158749035,16
1,1.2125000000000001,0.033067202525675785,0.01746743201976375,0.04866697303158782,16
1,1.2375,0.031983881023576105,0.020896032725372323,0.043071729321779884,16
1,1.2625000000000002,0.035214154851495476,0.021402768674984425,0.049025541028006527,16
1,1.2875,0.0341977989200998,0.01940194056953369,0.048993657270665916,16
1,1.3125,0.029479246413469832,0.016567107179961522,0.04239138564697814,16
1,1.3375000000000001,0.02647985047537907,0.014595336597094007,0.03836436435366413,16
1,1.3625,0.0250722741648569,0.014928278117068606,0.035216270212645194,16
1,1.3875000000000002,0.024545091147383354,0.01549210044205014,0.033598081852716566,16
1,1.4125,0.026068733367854896,0.016389164726735763,0.035748302008974026,16
1,1.4375,0.02671333871695189,0.015177702339680325,0.03824897509422345,16
1,1.4625000000000001,0.02409751398154564,0.011388268603918417,0.036806759359172866,16
1,1.4875,0.01898482247675653,0.005426552532624992,0.03254309242088806,16
1,1.5125000000000002,0.012925693188575373,0.003359746870314227,0.022491639506836518,16
1,1.5375,0.014275082264021022,0.005060979895435771,0.023489184632606273,16
1,1.5625,0.019393791516659684,0.008215962507874992,0.030571620525444376,16
1,1.5875000000000001,0.016849759069998898,0.00441134943247167,0.029288168707526124,16
1,1.6125,0.014309061245094906,-0.002529814953349927,0.03114793744353974,16
1,1.6375000000000002,0.018350508347144384,0.0014856302878523062,0.03521538640643646,16
1,1.6625,0.023252230213912536,0.007094555113939655,0.03940990531388541,16
1,1.6875,0.023635290147844778,0.010633495873029381,0.03663708442266017,16
1,1.7125000000000001,0.025582968092567042,0.015117399361997954,0.03604853682313613,16
1,1.7375,0.03798825437873614,0.02328117116210524,0.05269533759536704,16
1,1.7625000000000002,0.05924777612160792,0.036229305285009616,0.08226624695820622,16
1,1.7875,0.07907607107454813,0.049877986161497585,0.10827415598759868,16
1,1.8125,0.10386992379566791,0.07025740273100144,0.1374824448603344,16
1,1.8375000000000001,0.14992154794812007,0.11399173005148949,0.18585136584475065,16
1,1.8625,0.20707580785673585,0.15989515827377096,0.25425645743970077,16
1,1.8875000000000002,0.25156829367169925,0.2059023728498991,0.2972342144934994,16
